family,family_ko,definition,card_count,effect_instance_count,unique_template_count
damage,피해,직접·고정·반사·조건부 피해,232,261,92
block,방어도,즉시·지연·지속 방어도,97,105,41
draw,카드 뽑기,즉시·지연·조건부 드로우,102,109,65
discard,버리기,선택·무작위·손 전체 버리기,32,33,26
exhaust,소멸시키기,자신 또는 다른 카드를 전투 중 제거,27,32,28
card_create,카드 생성,손·뽑기·버린 카드 더미에 카드 추가/복사,56,56,48
card_move,카드 이동/탐색,"더미 간 이동, 서치, 회수, 맨 위 배치",70,73,62
card_play,추가 사용/재사용,"자동 사용, 반복 사용, Replay",77,77,73
card_upgrade,강화,전투 중 카드 강화,4,4,4
card_transform,변화,카드를 다른 카드로 변화,7,7,7
card_cost,비용 변화,비용 감소·증가·무료화,31,31,27
retain,보존,카드 또는 손패 보존,6,6,4
energy,에너지,에너지 획득·손실·제한,61,63,43
stars,별,별 획득·소모 연동,16,17,10
hp,체력,체력 손실·회복·최대 체력,28,29,22
buff,강화 효과,힘·민첩·집중·활력·가시·도금·무형 등,36,43,26
debuff,약화 효과,약화·취약·중독·파멸·힘 감소 등,73,83,51
orb,구체,집중·구체 생성·발동·밀어내기·슬롯,41,46,32
osty,오스티/소환,"소환, 오스티 공격·회복·죽음·연동",29,37,22
forge,제련,제련 및 군주의 칼날 연동,14,18,10
trigger,지속/발동기,턴 시작·종료 또는 Whenever/Every 발동,158,159,147
restriction,사용 제약,"사용 조건, 사용 불가, 턴 종료, 획득 제한",13,13,12
enemy_control,적 제어,기절·처치·의도·행동 방해,5,5,5
ally,협동,다른 플레이어 또는 모든 플레이어 대상,21,21,21
reward_meta,전투 외/보상,골드·카드 보상·덱 제거·이벤트·퀘스트,9,9,9
scaling,가변/스케일링,"X, 더미/횟수/상태에 비례하는 값",89,93,90
status_penalty,상태/저주 페널티,"손패 오염, 턴 종료 피해 등",10,10,10
keyword,카드 키워드,본문 밖 카드 속성,156,178,7
bespoke_rule,고유 규칙,단독 계열로 두기 어려운 카드 고유 규칙,5,6,6
empty,효과 없음,본문이 비어 있는 상태/저주 카드,13,13,1
