card_id,name_ko,name_en,pool,rarity,cost,source,clause_index,family,family_ko,polarity,scaling_or_conditional,template_en,clause_en,clause_ko,numeric_values,structured_stats
ABRASIVE,연마,Abrasive,silent,Rare,E3,body,1,buff,강화 효과,positive_or_mixed,False,Gain {n} Dexterity.,Gain 1 Dexterity.,민첩을 1 얻습니다.,1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""ThornsPower"":4,""Thorns"":4,""DexterityPower"":1,""Dexterity"":1},""upgrade"":{""thornspower"":""+2""}}"
ABRASIVE,연마,Abrasive,silent,Rare,E3,body,2,buff,강화 효과,positive_or_mixed,False,Gain {n} Thorns.,Gain 4 Thorns.,가시를 4 얻습니다.,4,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""ThornsPower"":4,""Thorns"":4,""DexterityPower"":1,""Dexterity"":1},""upgrade"":{""thornspower"":""+2""}}"
ABRASIVE,연마,Abrasive,silent,Rare,E3,keyword,,keyword,카드 키워드,contextual,False,Keyword: Sly,Keyword: Sly,키워드: 교활,,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""ThornsPower"":4,""Thorns"":4,""DexterityPower"":1,""Dexterity"":1},""upgrade"":{""thornspower"":""+2""}}"
ACCELERANT,촉진제,Accelerant,silent,Rare,E1,body,1,card_play,추가 사용/재사용,positive_or_mixed,False,Poison is triggered {n} additional time.,Poison is triggered 1 additional time.,중독이 1번 추가로 발동합니다.,1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Accelerant"":1},""upgrade"":{""accelerant"":""+1""}}"
ACCELERANT,촉진제,Accelerant,silent,Rare,E1,body,1,debuff,약화 효과,positive_or_mixed,False,Poison is triggered {n} additional time.,Poison is triggered 1 additional time.,중독이 1번 추가로 발동합니다.,1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Accelerant"":1},""upgrade"":{""accelerant"":""+1""}}"
ACCURACY,정밀,Accuracy,silent,Uncommon,E1,body,1,damage,피해,positive_or_mixed,True,Shivs deal {n} additional damage.,Shivs deal 4 additional damage.,단도의 피해량이 4 증가합니다.,4,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""AccuracyPower"":4,""Accuracy"":4},""upgrade"":{""accuracypower"":""+2""}}"
ACCURACY,정밀,Accuracy,silent,Uncommon,E1,body,1,scaling,가변/스케일링,positive_or_mixed,True,Shivs deal {n} additional damage.,Shivs deal 4 additional damage.,단도의 피해량이 4 증가합니다.,4,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""AccuracyPower"":4,""Accuracy"":4},""upgrade"":{""accuracypower"":""+2""}}"
ACROBATICS,곡예,Acrobatics,silent,Uncommon,E1,body,1,draw,카드 뽑기,positive_or_mixed,False,Draw {n} cards.,Draw 3 cards.,카드를 3장 뽑습니다.,3,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":3,""energy_gain"":null,""hp_loss"":null,""vars"":{""Cards"":3},""upgrade"":{""cards"":""+1""}}"
ACROBATICS,곡예,Acrobatics,silent,Uncommon,E1,body,2,discard,버리기,positive_or_mixed,False,Discard {n} card.,Discard 1 card.,카드를 1장 버립니다.,1,"{""damage"":null,""block"":null,""hit_count"":null,""cards_draw"":3,""energy_gain"":null,""hp_loss"":null,""vars"":{""Cards"":3},""upgrade"":{""cards"":""+1""}}"
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,defect,Rare,E2,body,1,damage,피해,positive_or_mixed,False,Deal {n} damage.,Deal 18 damage.,피해를 18 줍니다.,18,"{""damage"":18,""block"":null,""hit_count"":null,""cards_draw"":null,""energy_gain"":null,""hp_loss"":null,""vars"":{""Damage"":18},""upgrade"":{""damage"":""+5""}}"
