family,effect,unit,points_v1,confidence,basis_or_caution
피해,단일 적 즉시 피해,피해 1,0.50,높음,타격 횟수만큼 합산
피해,모든 적 피해,피해 1,0.65,중간,단일 피해 0.50 × 광역 1.30
피해,무작위 적 피해,피해 1,0.45,낮음,집중 불가 할인; 다수전 기대값은 별도 보정
피해,오스티 피해,피해 1,0.45,낮음,오스티 생존·행동 조건 반영
피해,지연 피해,피해 1,0.40,낮음,즉시 피해 × 0.80
방어,즉시 방어도,방어도 1,0.60,높음,Defend/Leap/Iron Wave 앵커
방어,다음 턴 방어도,방어도 1,0.48,중간,즉시 방어 × 0.80
자원,카드 뽑기,1장,2.00,중간,순환과 순카드이득을 합친 평균값
자원,선택 버리기,1장,-0.50,낮음,교활/버리기 시너지 전의 독립값
자원,무작위 버리기,1장,-1.00,낮음,선택권 부재
자원,에너지 획득,1,2.50,중간,Adrenaline 등으로 교차 점검
자원,별 획득,1,1.50,중간,Venerate/Solar Strike/Glow 앵커
디버프,약화,1턴,1.50,중간,Sucker Punch/Go for the Eyes 앵커
디버프,취약,1턴,1.50,중간,Beam Cell/Fear 앵커
디버프,중독,1,1.00,중간,Deadly Poison/Poisoned Stab 앵커
디버프,파멸,1,0.25,중간,Scourge/Blight Strike 앵커
버프,힘 또는 민첩,1,3.25,중간,Inflame/Footwork 앵커; 지속값
버프,이번 턴 힘·민첩·집중,1,0.80,낮음,일회성 할인
버프,활력,1,0.50,낮음,다음 공격에만 적용
버프,도금,1,1.50,낮음,Stone Armor 기준
카드 생성,단도 생성,1장,2.00,중간,0코스트 4피해 토큰 기준
레전트,제련,1,0.25,높음,Wrought in War/Spoils of Battle 교차 앵커
네크로바인더,소환,1,1.00,낮음,오스티 생존과 후속 공격에 따라 편차 큼
키워드,소멸,카드 속성,-1.00,낮음,재사용 상실; 덱 압축 시너지는 상호작용으로 환급
키워드,휘발성,카드 속성,-1.00,낮음,미사용 시 소멸 위험
키워드,선천성,카드 속성,+0.50,낮음,초반 확정성; 손패 혼잡 가능
키워드,보존,카드 속성,+0.50,낮음,사용 시점 선택권
키워드,교활,카드 속성,상호작용,낮음,버리기 시 무료 사용이므로 코스트 기준선 자체를 전환
키워드,사용불가,카드 속성,상호작용,낮음,상태/저주/트리거 카드 전용 별도 모델
키워드,영구,카드 속성,전투 0,중간,덱 관리 가치는 별도 메타 점수
조건,모든 적 대상,효과 배율,×1.30,중간,평균 적 수가 아닌 안정적 비교 계수
조건,다음 턴/지연,효과 배율,×0.80,낮음,즉시성 할인
조건,X/더미/상태 비례,효과 배율,시나리오,낮음,보수·기준·낙관 3개 입력 필요
조건,파워/반복 발동,효과 배율,턴수,낮음,기본 기대 발동 횟수를 별도 가정
