family,family_ko,template_en,occurrences,card_count,pools,example_card_ids
ally,협동,ALL players Summon {n}.,1,1,necrobinder:1,LEGION_OF_BONE
ally,협동,ALL players add {n} Souls into their Draw Pile.,1,1,necrobinder:1,GLIMPSE_BEYOND
ally,협동,ALL players draw {n} cards.,1,1,colorless:1,HUDDLE_UP
ally,협동,ALL players gain {n} Block.,1,1,colorless:1,RALLY
ally,협동,ALL players gain {n} Energy.,1,1,defect:1,ENERGY_SURGE
ally,협동,Allies take half damage from enemies.,1,1,ironclad:1,TANK
ally,협동,Another player Channels Plasma.,1,1,defect:1,IGNITION
ally,협동,Another player adds {n} random Colorless card to their Hand.,1,1,regent:1,LARGESSE
ally,협동,Another player gains {n} Energy.,1,1,colorless:1,BELIEVE_IN_YOU
ally,협동,Deals {n} additional damage for each time another player has attacked the enemy this turn.,1,1,colorless:1,GANG_UP
ally,협동,Gain Block equal to the Block on another player.,1,1,colorless:1,MIMIC
ally,협동,Give another player Block equal to your Block.,1,1,ironclad:1,DEMONIC_SHIELD
ally,협동,Give another player {n} Block.,1,1,colorless:1,LIFT
ally,협동,Give another player {n} Strength this turn.,1,1,colorless:1,COORDINATE
ally,협동,Redirect all incoming attacks that would be dealt to another player this turn to you.,1,1,colorless:1,INTERCEPT
ally,협동,The enemy takes double attack damage from other players this turn.,1,1,silent:1,FLANKING
ally,협동,The enemy takes double damage from other players this turn.,1,1,colorless:1,KNOCKDOWN
ally,협동,The next Attack another player plays on the enemy is played an extra time.,1,1,colorless:1,TAG_TEAM
ally,협동,"Whenever another player attacks an enemy, gain {n} Block.",1,1,silent:1,SNEAKY
ally,협동,"Whenever you Forge, all allies Forge as well.",1,1,regent:1,HAMMER_TIME
ally,협동,"Whenever you gain Block on your turn, other players gain half that much Block.",1,1,colorless:1,BEACON_OF_HOPE
bespoke_rule,고유 규칙,Get farther away.,1,1,status:1,FRANTIC_ESCAPE
bespoke_rule,고유 규칙,Increase Sandpit by {n}.,1,1,status:1,FRANTIC_ESCAPE
bespoke_rule,고유 규칙,It gains Ethereal.,1,1,necrobinder:1,CALL_OF_THE_VOID
bespoke_rule,고유 규칙,Procure a random potion.,1,1,colorless:1,ALCHEMIZE
bespoke_rule,고유 규칙,Shivs now hit ALL enemies.,1,1,silent:1,FAN_OF_KNIVES
bespoke_rule,고유 규칙,Trigger all Lightning against the enemy.,1,1,defect:1,TESLA_COIL
block,방어도,ALL players gain {n} Block.,1,1,colorless:1,RALLY
block,방어도,"At the start of your turn, gain {n} Block for each unique Orb you have.",1,1,defect:1,COOLANT
block,방어도,"At the start of your turn, lose {n} HP and gain {n} Block.",1,1,ironclad:1,CRIMSON_MANTLE
block,방어도,Block is not removed at the start of your next turn.,1,1,silent:1,BLUR
block,방어도,Block is not removed at the start of your turn.,1,1,ironclad:1,BARRICADE
block,방어도,Deal damage equal to your Block.,1,1,ironclad:1,BODY_SLAM
block,방어도,Double your Block gain this turn.,1,1,silent:1,SHADOWMELD
block,방어도,Double your Block.,1,1,event:1,ENTRENCH
block,방어도,Gain Block equal to Poison on ALL enemies.,1,1,silent:1,MIRAGE
block,방어도,Gain Block equal to damage dealt.,1,1,colorless:1,FISTICUFFS
block,방어도,Gain Block equal to the Block on another player.,1,1,colorless:1,MIMIC
block,방어도,Gain Block equal to the number of cards in your Discard Pile.,1,1,event:1,STACK
block,방어도,Gain an additional {n} Block from Defend cards.,1,1,colorless:1,FASTEN
block,방어도,Gain another {n} Block if you have Exhausted a card this turn.,1,1,ironclad:1,EVIL_EYE
block,방어도,Gain {n} Block at the start of the next {n} turns.,1,1,event:1,TORIC_TOUGHNESS
block,방어도,Gain {n} Block for each card Exhausted.,1,1,ironclad:1,SECOND_WIND
block,방어도,Gain {n} Block.,64,64,colorless:6|defect:13|event:2|ironclad:11|necrobinder:9|regent:11|silent:11|token:1,ARMAMENTS|BACKFLIP|BLOOD_WALL|BLUR|BOOST_AWAY|BOOT_SEQUENCE|BULWARK|CHARGE_BATTERY|CLOAK_AND_DAGGER|CLOAK_OF_STARS|COLOSSUS|COMPACT
block,방어도,Give another player Block equal to your Block.,1,1,ironclad:1,DEMONIC_SHIELD
block,방어도,Give another player {n} Block.,1,1,colorless:1,LIFT
block,방어도,"If Osty is alive, he deals {n} damage to ALL enemies and you gain {n} Block.",1,1,necrobinder:1,BONE_SHARDS
block,방어도,"If Osty is alive, he dies and you gain Block equal to double his Max HP.",1,1,necrobinder:1,SACRIFICE
block,방어도,"If you applied Doom this turn, gain Block {n} additional times.",1,1,necrobinder:1,DEATHS_DOOR
block,방어도,"If you draw a Skill, gain {n} Block.",1,1,silent:1,ESCAPE_PLAN
block,방어도,"Next turn, gain Block equal to your current Block.",1,1,colorless:1,PROLONG
block,방어도,"Next turn, gain {n} Block.",2,2,regent:1|silent:1,DODGE_AND_ROLL|GLITTERSTREAM
block,방어도,Permanently increase this card's Block by {n}.,1,1,defect:1,GENETIC_ALGORITHM
block,방어도,Remove all Artifact and Block from the enemy.,1,1,silent:1,EXPOSE
block,방어도,Sovereign Blade now gains {n} Block.,1,1,regent:1,PARRY
block,방어도,"The first time you gain Block from a card each turn, double the amount gained.",1,1,ironclad:1,UNMOVABLE
block,방어도,"Whenever a card is Exhausted, gain {n} Block.",1,1,ironclad:1,FEEL_NO_PAIN
block,방어도,"Whenever another player attacks an enemy, gain {n} Block.",1,1,silent:1,SNEAKY
block,방어도,"Whenever you apply Doom, gain {n} Block.",1,1,necrobinder:1,SHROUD
block,방어도,"Whenever you create a card, gain {n} Block.",1,1,regent:1,PILLAR_OF_CREATION
block,방어도,"Whenever you gain Block on your turn, other players gain half that much Block.",1,1,colorless:1,BEACON_OF_HOPE
block,방어도,"Whenever you gain Block, deal {n} damage to a random enemy.",1,1,ironclad:1,JUGGERNAUT
block,방어도,"Whenever you play a card that costs {n} Energy or more, gain {n} Block.",1,1,necrobinder:1,DANSE_MACABRE
block,방어도,"Whenever you play a card, gain {n} Block.",1,1,silent:1,AFTERIMAGE
block,방어도,"Whenever you play an Attack this turn, gain {n} Block.",1,1,ironclad:1,RAGE
block,방어도,"Whenever you play an Ethereal card, gain {n} Block.",1,1,necrobinder:1,SPIRIT_OF_ASH
block,방어도,"Whenever you spend {n} Stars, gain {n} Block for each {n} Stars spent.",1,1,regent:1,CHILD_OF_THE_STARS
block,방어도,You cannot gain Block from cards for {n} turns.,1,1,colorless:1,PANIC_BUTTON
buff,강화 효과,ALL enemies lose {n} Strength this turn.,2,2,regent:1|silent:1,DYING_STAR|PIERCING_WAIL
buff,강화 효과,ALL enemies lose {n} Strength.,1,1,regent:1,RESONANCE
buff,강화 효과,All enemies lose {n} Strength this turn.,1,1,regent:1,CRUSH_UNDER
buff,강화 효과,"At the start of your turn, gain {n} Strength.",1,1,ironclad:1,DEMON_FORM
buff,강화 효과,"At the start of your turn, gain {n} Vigor.",1,1,colorless:1,PREP_TIME
buff,강화 효과,"At the start of your turn, lose {n} Dexterity.",1,1,silent:1,WRAITH_FORM
buff,강화 효과,Enemy loses X Strength.,1,1,silent:1,MALAISE
buff,강화 효과,Enemy loses {n} Strength this turn.,3,3,colorless:1|ironclad:1|necrobinder:1,DARK_SHACKLES|ENFEEBLING_TOUCH|MANGLE
buff,강화 효과,Enemy loses {n} Strength.,1,1,necrobinder:1,SHARED_FATE
buff,강화 효과,Gain {n} Dexterity this turn.,1,1,silent:1,ANTICIPATE
buff,강화 효과,Gain {n} Dexterity.,4,4,colorless:1|defect:1|silent:2,ABRASIVE|BULK_UP|FOOTWORK|PROWESS
buff,강화 효과,Gain {n} Intangible.,2,2,event:1|silent:1,APPARITION|WRAITH_FORM
buff,강화 효과,Gain {n} Plating.,3,3,colorless:1|ironclad:1|regent:1,ETERNAL_ARMOR|NEUTRON_AEGIS|STONE_ARMOR
buff,강화 효과,Gain {n} Strength for each Vulnerable on the enemy.,1,1,ironclad:1,DOMINATE
buff,강화 효과,Gain {n} Strength this turn.,2,2,event:1|ironclad:1,FEEDING_FRENZY|SETUP_STRIKE
buff,강화 효과,Gain {n} Strength.,6,6,colorless:1|defect:1|ironclad:3|regent:1,BRAND|BULK_UP|FIGHT_ME|INFLAME|PROWESS|RESONANCE
buff,강화 효과,Gain {n} Thorns.,1,1,silent:1,ABRASIVE
buff,강화 효과,Gain {n} Vigor.,2,2,regent:2,PATTER|TERRAFORMING
buff,강화 효과,Give another player {n} Strength this turn.,1,1,colorless:1,COORDINATE
buff,강화 효과,"If {n} cards were Exhausted this way, gain {n} Intangible.",1,1,necrobinder:1,EIDOLON
buff,강화 효과,Lose {n} Strength.,2,2,necrobinder:2,FRIENDSHIP|SHARED_FATE
buff,강화 효과,The enemy gains {n} Strength.,1,1,ironclad:1,FIGHT_ME
buff,강화 효과,"Whenever you attack an enemy, it loses {n} Strength this turn.",1,1,regent:1,MONARCHS_GAZE
buff,강화 효과,"Whenever you create a card, gain {n} Strength.",1,1,regent:1,ARSENAL
buff,강화 효과,"Whenever you lose HP on your turn, gain {n} Strength.",1,1,ironclad:1,RUPTURE
buff,강화 효과,"Whenever you play a card this turn, gain {n} Strength this turn.",1,1,regent:1,MONOLOGUE
card_cost,비용 변화,ALL cards in your Hand are free to play this turn.,1,1,silent:1,BULLET_TIME
card_cost,비용 변화,Cards cost an additional {n} Energy this turn.,1,1,necrobinder:1,BORROWED_TIME
card_cost,비용 변화,Costs {n} Energy less for each Ethereal card played this combat.,1,1,necrobinder:1,BANSHEES_CRY
card_cost,비용 변화,Costs {n} less Energy for each Attack played this turn.,1,1,ironclad:1,STOMP
card_cost,비용 변화,Costs {n} less Energy for each Skill played this turn.,1,1,silent:1,PINPOINT
card_cost,비용 변화,Deals {n} additional damage for ALL your cards that have a {n} Stars cost.,1,1,regent:1,CRESCENT_SPEAR
card_cost,비용 변화,Discard all cards drawn this way that do not cost {n} Energy.,1,1,defect:1,SCRAPE
card_cost,비용 변화,Increase the cost of this card by {n}.,1,1,status:1,FRANTIC_ESCAPE
card_cost,비용 변화,Increase this card's cost by {n}.,1,1,defect:1,MODDED
card_cost,비용 변화,It costs an extra {n} Energy.,1,1,necrobinder:1,TRANSFIGURE
card_cost,비용 변화,It's free to play this turn.,5,5,colorless:2|defect:1|event:1|ironclad:1,DISCOVERY|DISTRACTION|INFERNAL_BLADE|SPLASH|WHITE_NOISE
card_cost,비용 변화,Reduce the cost of ALL cards in your Hand to {n} this turn.,1,1,event:1,ENLIGHTENMENT
card_cost,비용 변화,Reduce this card's cost by {n} Energy whenever ANYONE dies.,1,1,necrobinder:1,MELANCHOLY
card_cost,비용 변화,Reduce this card's cost by {n}.,1,1,silent:1,UP_MY_SLEEVE
card_cost,비용 변화,Reduce this card's cost to {n} Energy.,1,1,defect:1,MOMENTUM_STRIKE
card_cost,비용 변화,Skills cost {n} Energy.,1,1,ironclad:1,CORRUPTION
card_cost,비용 변화,The first {n} cards you play each turn are free to play.,1,1,regent:1,VOID_FORM
card_cost,비용 변화,The next Attack you play costs {n} Energy.,1,1,ironclad:1,UNRELENTING
card_cost,비용 변화,The next Ethereal card you play costs {n} Energy.,1,1,necrobinder:1,VEILPIERCER
card_cost,비용 변화,The next Power you play costs {n} Energy.,1,1,defect:1,SYNTHESIS
card_cost,비용 변화,The next Skill you play costs {n} Energy.,1,1,silent:1,POUNCE
card_cost,비용 변화,They're free to play this combat.,1,1,event:1,METAMORPHOSIS
card_cost,비용 변화,This card costs {n} Energy if Osty has attacked this turn.,1,1,necrobinder:1,FLATTEN
card_cost,비용 변화,"Whenever you create a Status, reduce this card's cost to {n} Energy until played.",1,1,defect:1,ROCKET_PUNCH
card_cost,비용 변화,"Whenever you draw this card, reduce its cost by {n}.",1,1,regent:1,KINGLY_KICK
card_cost,비용 변화,"Whenever you play a card that costs {n} Energy or more, gain {n} Block.",1,1,necrobinder:1,DANSE_MACABRE
card_cost,비용 변화,"Whenever you play a card that costs {n} Energy or more, return this to your Hand from the Discard Pile.",1,1,necrobinder:1,RIGHT_HAND_HAND
card_create,카드 생성,ALL players add {n} Souls into their Draw Pile.,1,1,necrobinder:1,GLIMPSE_BEYOND
card_create,카드 생성,Add Ethereal to a card in your Hand.,1,1,necrobinder:1,SCULPTING_STRIKE
card_create,카드 생성,Add Replay to a card in your Hand.,1,1,necrobinder:1,TRANSFIGURE
