effect,card_id,name_ko,name_en,pool,rarity,cost,benchmark_v1,benchmark_v2,keyword_adjustment,target_quantity,other_effect_score_v2,implied_unit_value,chosen_unit_value_v2,difference_from_chosen,note
draw,BACKFLIP,공중제비,Backflip,silent,Common,E1,5.3,5.3,0.0,2,3.0,1.15,1.75,-0.6,방어+드로우
draw,POMMEL_STRIKE,폼멜 타격,Pommel Strike,ironclad,Common,E1,5.3,5.3,0.0,1,4.5,0.8,1.75,-0.95,피해+드로우
draw,SHRUG_IT_OFF,흘려보내기,Shrug It Off,ironclad,Common,E1,5.3,5.3,0.0,1,4.8,0.5,1.75,-1.25,방어+드로우
draw,SWEEPING_BEAM,광선 휩쓸기,Sweeping Beam,defect,Common,E1,5.3,5.3,0.0,1,3.9,1.4,1.75,-0.35,광역 피해+드로우
draw,SKIM,걷어내기,Skim,defect,Uncommon,E1,6.5,6.5,0.0,3,0,2.167,1.75,0.417,순수 다중 드로우
draw,PARSE,분석,Parse,necrobinder,Uncommon,E1,6.5,6.5,-1.0,3,0,2.5,1.75,0.75,휘발성 다중 드로우
draw,PROPHESIZE,예언,Prophesize,regent,Uncommon,E2,11.0,11.0,0.0,6,0,1.833,1.75,0.083,2코스트 다중 드로우
draw,MASTER_OF_STRATEGY,전략의 천재,Master of Strategy,colorless,Rare,E0,7.5,5.0,-1.0,3,0,2.0,1.75,0.25,무색 0코스트 소멸
energy,WISP,위습,Wisp,necrobinder,Common,E0,2.7,2.7,-1.0,1,0,3.7,2.5,1.2,0코스트 소멸
energy,PRODUCTION,생산,Production,colorless,Uncommon,E0,6.5,4.25,-1.0,2,0,2.625,2.5,0.125,무색 0코스트 소멸
energy,SUPERCRITICAL,임계 초과,Supercritical,defect,Rare,E0,6.5,6.5,-1.0,4,0,1.875,2.5,-0.625,희귀 0코스트 소멸
energy,BLOODLETTING,사혈,Bloodletting,ironclad,Common,E0,2.7,2.7,0.0,2,-1.65,2.175,2.5,-0.325,체력 손실+에너지
energy,ADRENALINE,아드레날린,Adrenaline,silent,Rare,E0,6.5,6.5,-1.0,1,3.5,4.0,2.5,1.5,드로우+에너지+소멸
