effect,unit_value_v1,unit_value_v2,evidence_count,implied_median,implied_q1,implied_q3,confidence
damage_single,0.5,0.5,0,,,,high
damage_all,0.65,0.65,0,,,,high
block,0.6,0.6,0,,,,high
draw,2.0,1.75,8,1.617,1.062,2.042,medium
discard_selected,-0.5,-0.5,0,,,,low_prior
energy,2.5,2.5,6,2.7,2.288,3.469,medium
stars,1.5,1.5,3,0.8,0.65,1.15,low_context
hp_loss,,-0.55,4,-0.525,-0.604,-0.45,high
weak,1.5,2.1,4,2.35,1.975,2.55,medium
vulnerable,1.5,2.0,6,2.05,1.4,2.25,medium
poison,1.0,1.0,3,1.06,0.913,1.137,high
doom,0.25,0.27,3,0.273,0.263,0.288,high
forge,0.25,0.33,3,0.36,0.309,0.37,medium
summon,1.0,1.1,4,1.05,0.938,1.088,high
shiv,2.0,1.9,3,1.9,1.8,2.0,high
soul,1.0,1.0,0,,,,low_prior
lightning,2.2,2.2,2,2.4,2.1,2.7,low_prior
frost,3.2,3.2,3,3.55,2.925,3.625,low_prior
dark,4.4,4.4,1,4.4,4.4,4.4,low_prior
glass,3.5,3.5,2,3.5,3.5,3.5,low_prior
plasma,7.0,7.0,0,,,,low_prior
strength,3.25,3.25,1,3.25,3.25,3.25,high
dexterity,3.25,3.25,1,3.25,3.25,3.25,high
focus,6.5,6.5,0,,,,low_prior
vigor,0.5,0.5,0,,,,low_prior
plating,1.6,1.6,1,1.625,1.625,1.625,medium
thorns,0.5,0.5,0,,,,low_prior
wound,-0.65,-0.65,0,,,,low_prior
dazed,-0.9,-0.9,0,,,,low_prior
slimed,-0.7,-0.7,0,,,,low_prior
void,-2.3,-2.3,0,,,,low_prior
burn,-1.5,-1.5,0,,,,low_prior
debris,-2.8,-2.8,0,,,,low_prior
