card_id,name_ko,name_en,pool,rarity,cost,type,keywords,features,body_score_v2,keyword_adjustment,effect_score_v2,benchmark_v1,benchmark_v2,residual_v2,absolute_residual
RAINBOW,무지개,Rainbow,defect,Rare,E2,Skill,EXHAUST,"{""dark"":1.0,""frost"":1.0,""lightning"":1.0}",9.8,-1.0,8.8,17.0,17.0,-8.2,8.2
TERRAFORMING,테라포밍,Terraforming,regent,Uncommon,E1,Skill,,"{""vigor"":6.0}",3.0,0.0,3.0,6.5,6.5,-3.5,3.5
SCARE,위협,Scare,silent,Uncommon,E0,Skill,EXHAUST,"{""weak"":1.3}",2.73,-1.0,1.73,5.0,5.0,-3.27,3.27
OVERCLOCK,오버클럭,Overclock,defect,Uncommon,E0,Skill,,"{""burn"":1.0,""draw"":2.0}",2.0,0.0,2.0,5.0,5.0,-3.0,3.0
SHOCKWAVE,충격파,Shockwave,colorless,Uncommon,E2,Skill,EXHAUST,"{""vulnerable"":3.9000000000000004,""weak"":3.9000000000000004}",15.99,-1.0,14.99,12.0,12.0,2.99,2.99
NULL,Null,Null,defect,Uncommon,E2,Attack,,"{""damage_single"":10.0,""dark"":1.0,""weak"":2.0}",13.6,0.0,13.6,11.0,11.0,2.6,2.6
BODYGUARD,호위,Bodyguard,necrobinder,Basic,E1,Skill,,"{""summon"":5.0}",5.5,0.0,5.5,3.0,3.0,2.5,2.5
SUPERCRITICAL,임계 초과,Supercritical,defect,Rare,E0,Skill,EXHAUST,"{""energy"":4.0}",10.0,-1.0,9.0,6.5,6.5,2.5,2.5
DRAMATIC_ENTRANCE,극적인 입장,Dramatic Entrance,colorless,Uncommon,E0,Attack,EXHAUST|INNATE,"{""damage_all"":11.0}",7.15,-0.5,6.65,6.5,4.25,2.4,2.4
PARSE,분석,Parse,necrobinder,Uncommon,E1,Skill,ETHEREAL,"{""draw"":3.0}",5.25,-1.0,4.25,6.5,6.5,-2.25,2.25
HIDDEN_DAGGERS,숨겨진 단검,Hidden Daggers,silent,Uncommon,E0,Skill,,"{""discard_selected"":2.0,""shiv"":2.0}",2.8,0.0,2.8,5.0,5.0,-2.2,2.2
NEUTRALIZE,무력화,Neutralize,silent,Basic,E0,Attack,,"{""damage_single"":3.0,""weak"":1.0}",3.6,0.0,3.6,1.5,1.5,2.1,2.1
BASH,강타,Bash,ironclad,Basic,E2,Attack,,"{""damage_single"":8.0,""vulnerable"":2.0}",8.0,0.0,8.0,6.0,6.0,2.0,2.0
ACROBATICS,곡예,Acrobatics,silent,Uncommon,E1,Skill,,"{""discard_selected"":1.0,""draw"":3.0}",4.75,0.0,4.75,6.5,6.5,-1.75,1.75
ADRENALINE,아드레날린,Adrenaline,silent,Rare,E0,Skill,EXHAUST,"{""draw"":2.0,""energy"":1.0}",6.0,-1.0,5.0,6.5,6.5,-1.5,1.5
SNAKEBITE,뱀 물기,Snakebite,silent,Common,E2,Skill,RETAIN,"{""poison"":7.0}",7.0,0.5,7.5,9.0,9.0,-1.5,1.5
PREPARED,예비,Prepared,silent,Common,E0,Skill,,"{""discard_selected"":1.0,""draw"":1.0}",1.25,0.0,1.25,2.7,2.7,-1.45,1.45
CONFLAGRATION,대화재,Conflagration,ironclad,Rare,E1,Attack,,"{""damage_all"":8.0}",5.2,0.0,5.2,8.0,6.5,-1.3,1.3
SURVIVOR,생존자,Survivor,silent,Basic,E1,Skill,,"{""block"":8.0,""discard_selected"":1.0}",4.3,0.0,4.3,3.0,3.0,1.3,1.3
SHRUG_IT_OFF,흘려보내기,Shrug It Off,ironclad,Common,E1,Skill,,"{""block"":8.0,""draw"":1.0}",6.55,0.0,6.55,5.3,5.3,1.25,1.25
