dimension,group,card_count,mean_residual,median_residual,median_absolute_residual,rmse
pool,colorless,10,0.389,-0.1,0.225,1.246
pool,defect,26,-0.302,0.0,0.375,1.918
pool,ironclad,20,0.06,0.0,0.3,0.694
pool,necrobinder,20,0.013,0.079,0.45,0.924
pool,regent,15,-0.109,0.0,0.4,0.998
pool,silent,26,-0.235,0.0,0.375,1.157
rarity,Basic,16,0.444,0.0,0.0,1.03
rarity,Common,50,0.115,0.178,0.4,0.611
rarity,Rare,13,-0.762,-0.1,0.75,2.483
rarity,Uncommon,38,-0.347,-0.1,0.3,1.374
cost,E0,26,-0.193,0.0,0.525,1.378
cost,E1,67,0.012,0.0,0.3,0.811
cost,E2,17,-0.383,-0.4,0.5,2.328
cost,E3,6,0.083,0.0,0.3,0.587
cost,E4,1,0.0,0.0,0.0,0.0
type,Attack,45,0.306,0.0,0.2,0.813
type,Power,6,-0.083,-0.05,0.05,0.135
type,Skill,66,-0.356,-0.125,0.5,1.546
