card_id,name_ko,name_en,pool,rarity,cost,type,keywords,features,body_score_v2,keyword_adjustment,effect_score_v2,benchmark_v1,benchmark_v2,residual_v2,absolute_residual
ACROBATICS,곡예,Acrobatics,silent,Uncommon,E1,Skill,,"{""discard_selected"":1.0,""draw"":3.0}",4.75,0.0,4.75,6.5,6.5,-1.75,1.75
ADRENALINE,아드레날린,Adrenaline,silent,Rare,E0,Skill,EXHAUST,"{""draw"":2.0,""energy"":1.0}",6.0,-1.0,5.0,6.5,6.5,-1.5,1.5
AFTERLIFE,내세,Afterlife,necrobinder,Common,E1,Skill,EXHAUST,"{""summon"":6.0}",6.6,-1.0,5.6,5.3,5.3,0.3,0.3
ASSASSINATE,암살,Assassinate,silent,Rare,E0,Attack,EXHAUST|INNATE,"{""damage_single"":10.0,""vulnerable"":1.0}",7.0,-0.5,6.5,6.5,6.5,0.0,0.0
BACKFLIP,공중제비,Backflip,silent,Common,E1,Skill,,"{""block"":5.0,""draw"":2.0}",6.5,0.0,6.5,5.3,5.3,1.2,1.2
BACKSTAB,배신,Backstab,silent,Uncommon,E0,Attack,EXHAUST|INNATE,"{""damage_single"":11.0}",5.5,-0.5,5.0,5.0,5.0,0.0,0.0
BALL_LIGHTNING,번개 구체,Ball Lightning,defect,Common,E1,Attack,,"{""damage_single"":7.0,""lightning"":1.0}",5.7,0.0,5.7,5.3,5.3,0.4,0.4
BASH,강타,Bash,ironclad,Basic,E2,Attack,,"{""damage_single"":8.0,""vulnerable"":2.0}",8.0,0.0,8.0,6.0,6.0,2.0,2.0
BEAM_CELL,레이저 포인터,Beam Cell,defect,Common,E0,Attack,,"{""damage_single"":3.0,""vulnerable"":1.0}",3.5,0.0,3.5,2.7,2.7,0.8,0.8
BIG_BANG,빅뱅,Big Bang,regent,Rare,E0,Skill,EXHAUST,"{""draw"":1.0,""energy"":1.0,""forge"":5.0,""stars"":1.0}",7.4,-1.0,6.4,6.5,6.5,-0.1,0.1
BLADE_DANCE,검무,Blade Dance,silent,Common,E1,Skill,EXHAUST,"{""shiv"":3.0}",5.7,-1.0,4.7,5.3,5.3,-0.6,0.6
BLOODLETTING,사혈,Bloodletting,ironclad,Common,E0,Skill,,"{""energy"":2.0,""hp_loss"":3.0}",3.35,0.0,3.35,2.7,2.7,0.65,0.65
BLOOD_WALL,피의 벽,Blood Wall,ironclad,Common,E2,Skill,,"{""block"":16.0,""hp_loss"":2.0}",8.5,0.0,8.5,9.0,9.0,-0.5,0.5
BLUDGEON,몽둥이질,Bludgeon,ironclad,Uncommon,E3,Attack,,"{""damage_single"":32.0}",16.0,0.0,16.0,16.0,16.0,0.0,0.0
BODYGUARD,호위,Bodyguard,necrobinder,Basic,E1,Skill,,"{""summon"":5.0}",5.5,0.0,5.5,3.0,3.0,2.5,2.5
BOOST_AWAY,가속 이탈,Boost Away,defect,Common,E0,Skill,,"{""block"":6.0,""dazed"":1.0}",2.7,0.0,2.7,2.7,2.7,-0.0,0.0
