card_id,name_ko,name_en,pool,scope,rarity,cost,type,status,modeled_clauses,total_clauses,unsupported_keywords,score_low,score_baseline,score_high,benchmark_v2,benchmark_v3,residual_low,residual_baseline,residual_high,rules,unmodeled_clauses,description_en
ABRASIVE,연마,Abrasive,silent,character,Rare,E3,Power,partial,2,2,SLY,5.25,5.25,5.25,20.0,20.0,,,,simple_fixed_v3,,Gain 1 Dexterity. Gain 4 Thorns.
ACCELERANT,촉진제,Accelerant,silent,character,Rare,E1,Power,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,Poison is triggered 1 additional time.,Poison is triggered 1 additional time.
ACCURACY,정밀,Accuracy,silent,character,Uncommon,E1,Power,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,Shivs deal 4 additional damage.,Shivs deal 4 additional damage.
ACROBATICS,곡예,Acrobatics,silent,character,Uncommon,E1,Skill,full_fixed,2,2,,5.8,5.8,5.8,6.5,6.5,-0.7,-0.7,-0.7,simple_fixed_v3,,Draw 3 cards. Discard 1 card.
ADAPTIVE_STRIKE,적응형 타격,Adaptive Strike,defect,character,Rare,E2,Attack,partial,1,2,,9.0,9.0,9.0,17.0,17.0,,,,atomic_fixed,Add a 0 Energy copy of this card into your Discard Pile.,Deal 18 damage. Add a 0 Energy copy of this card into your Discard Pile.
ADRENALINE,아드레날린,Adrenaline,silent,character,Rare,E0,Skill,full_fixed,2,2,,4.9,4.9,4.9,6.5,6.5,-1.6,-1.6,-1.6,simple_fixed_v3,,Gain 1 Energy. Draw 2 cards.
AFTERIMAGE,잔상,Afterimage,silent,character,Rare,E1,Power,full_scenario,1,1,,0.6,2.1,10.8,6.5,6.5,-5.9,-4.4,4.3,atomic_fixed|event_triggers,,"Whenever you play a card, gain 1 Block."
AFTERLIFE,내세,Afterlife,necrobinder,character,Common,E1,Skill,full_fixed,1,1,,5.6,5.6,5.6,5.3,5.3,0.3,0.3,0.3,simple_fixed_v3,,Summon 6.
AGGRESSION,공격성,Aggression,ironclad,character,Rare,E1,Power,partial,0,1,,0.0,0.0,0.0,6.5,6.5,,,,,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.","At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it."
ALCHEMIZE,연금,Alchemize,colorless,colorless,Rare,E1,Skill,partial,0,1,,-1.0,-1.0,-1.0,9.0,9.0,,,,,Procure a random potion.,Procure a random potion.
ALIGNMENT,정렬,Alignment,regent,character,Uncommon,E0+S3,Skill,full_fixed,1,1,,5.0,5.0,5.0,,,,,,simple_fixed_v3,,Gain 2 Energy.
ALL_FOR_ONE,하나를 위한 모두,All for One,defect,character,Rare,E2,Attack,partial,1,2,,5.0,5.0,5.0,17.0,17.0,,,,atomic_fixed,Put ALL 0 Energy cards from your Discard Pile into your Hand.,Deal 10 damage. Put ALL 0 Energy cards from your Discard Pile into your Hand.
ANGER,분노,Anger,ironclad,character,Common,E0,Attack,full_scenario,2,2,,2.5,3.5,5.5,2.7,2.7,-0.2,0.8,2.8,atomic_copy_self_discard|atomic_fixed,,Deal 6 damage. Add a copy of this card into your Discard Pile.
ANOINTED,임명,Anointed,colorless,colorless,Rare,E1,Skill,partial,0,1,,-1.0,-1.0,-1.0,9.0,9.0,,,,,Put every Rare card from your Draw Pile into your Hand.,Put every Rare card from your Draw Pile into your Hand.
ANTICIPATE,예측,Anticipate,silent,character,Common,E0,Skill,full_fixed,1,1,,1.6,1.6,1.6,2.7,2.7,-1.1,-1.1,-1.1,atomic_temporary_stat,,Gain 2 Dexterity this turn.
