card_id,name_ko,name_en,pool,scope,rarity,cost,type,status,modeled_clauses,total_clauses,unsupported_keywords,score_low,score_baseline,score_high,benchmark_v2,benchmark_v3,residual_low,residual_baseline,residual_high,rules,unmodeled_clauses,description_en
ENVENOM,독 바르기,Envenom,silent,character,Rare,E2,Power,full_scenario,1,1,,1.0,3.5,18.0,17.0,17.0,-16.0,-13.5,1.0,atomic_fixed|event_triggers,,"Whenever an Attack deals unblocked damage, apply 1 Poison."
DARK_EMBRACE,어둠의 포옹,Dark Embrace,ironclad,character,Rare,E2,Power,full_scenario,1,1,,1.25,4.375,22.5,17.0,17.0,-15.75,-12.625,5.5,atomic_fixed|event_triggers,,"Whenever a card is Exhausted, draw 1 card."
BULLET_TIME,불릿 타임,Bullet Time,silent,character,Rare,E3,Skill,full_scenario,2,2,,-3.05,9.1,25.0,20.0,20.0,-23.05,-10.9,5.0,atomic_free_hand|atomic_no_more_draw,,You cannot draw additional cards this turn. ALL cards in your Hand are free to play this turn.
FIEND_FIRE,지옥불,Fiend Fire,ironclad,character,Rare,E2,Attack,full_scenario,2,2,,0.5,7.7,39.0,17.0,17.0,-16.5,-9.3,22.0,atomic_exhaust_hand|atomic_fixed|scaling_count,,Exhaust your Hand. Deal 7 damage for each card Exhausted.
CRIMSON_MANTLE,핏빛 망토,Crimson Mantle,ironclad,character,Rare,E1,Power,full_scenario,1,1,,6.375,15.725,25.5,6.5,6.5,-0.125,9.225,19.0,atomic_fixed|recurring_turns,,"At the start of your turn, lose 1 HP and gain 8 Block."
TIMES_UP,때가 되었다,Time's Up,necrobinder,character,Rare,E2,Attack,full_scenario,1,1,,1.5,9.0,19.0,17.0,17.0,-15.5,-8.0,2.0,equal_to_quantity,,Deal damage equal to the enemy's Doom.
EIDOLON,허상,Eidolon,necrobinder,character,Rare,E2,Skill,full_scenario,2,2,,-2.0,9.4,17.0,17.0,17.0,-19.0,-7.6,0.0,atomic_exhaust_hand|atomic_intangible|condition_probability,,"Exhaust your Hand. If 9 cards were Exhausted this way, gain 1 Intangible."
PANACHE,위풍당당,Panache,colorless,colorless,Uncommon,E0,Power,full_scenario,1,1,,0.0,11.7,26.0,4.25,4.25,-4.25,7.45,21.75,atomic_fixed|threshold_triggers,,"Every time you play 5 cards in a single turn, deal 10 damage to ALL enemies."
SIC_EM,덮쳐!,Sic 'Em,necrobinder,character,Uncommon,E1,Attack,full_scenario,2,2,,5.55,13.8,61.65,6.5,6.5,-0.95,7.3,55.15,atomic_fixed|atomic_osty_damage|event_triggers,,"Osty deals 5 damage. Whenever Osty hits this enemy this turn, Summon 3."
FRIENDSHIP,우정,Friendship,necrobinder,character,Uncommon,E1,Power,full_scenario,2,2,,-1.5,13.75,25.0,6.5,6.5,-8.0,7.25,18.5,atomic_fixed|atomic_lose_strength_conditional_stock|recurring_resource_turns,,Lose 2 Strength. Gain 1 Energy at the start of each turn.
RALLY,단결,Rally,colorless,colorless,Rare,E2,Skill,full_scenario,1,1,,7.2,10.8,18.0,18.0,18.0,-10.8,-7.2,0.0,all_players|atomic_fixed,,ALL players gain 12 Block.
DEMESNE,권역,Demesne,necrobinder,character,Rare,E3,Power,full_scenario,1,1,,4.625,12.875,21.5,20.0,20.0,-15.375,-7.125,1.5,atomic_fixed|recurring_turns,,"At the start of your turn, gain 1 Energy and draw 1 additional card."
ORBIT,궤도,Orbit,regent,character,Uncommon,E2,Power,full_scenario,1,1,,0.0,4.5,10.0,11.0,11.0,-11.0,-6.5,-1.0,atomic_fixed|threshold_triggers,,"Every 4 Energy you spend, gain 1 Energy."
SPEEDSTER,스피드스터,Speedster,silent,character,Uncommon,E2,Power,full_scenario,1,1,,1.3,4.55,23.4,11.0,11.0,-9.7,-6.45,12.4,atomic_fixed|event_triggers,,"Whenever you draw a card during your turn, deal 2 damage to ALL enemies."
SPINNER,스피너,Spinner,defect,character,Rare,E1,Power,full_scenario,1,1,,5.25,12.95,21.0,6.5,6.5,-1.25,6.45,14.5,atomic_fixed|recurring_turns,,"At the start of your turn, Channel 1 Glass."
OUTBREAK,발병,Outbreak,silent,character,Uncommon,E1,Power,full_scenario,1,1,,0.0,12.87,28.6,6.5,6.5,-6.5,6.37,22.1,atomic_fixed|threshold_triggers,,"Every 3 times you apply Poison, deal 11 damage to ALL enemies."
GENESIS,창세,Genesis,regent,character,Rare,E2,Power,full_scenario,1,1,,4.5,11.1,18.0,17.0,17.0,-12.5,-5.9,1.0,atomic_fixed|recurring_turns,,"At the start of your turn, gain 2 Stars."
HYPERBEAM,파괴광선,Hyperbeam,defect,character,Rare,E2,Attack,full_scenario,2,2,,-1.3,11.7,18.2,17.0,17.0,-18.3,-5.3,1.2,atomic_fixed|atomic_lose_focus_conditional_stock,,Deal 28 damage to ALL enemies. Lose 3 Focus.
INFERNO,불바다,Inferno,ironclad,character,Uncommon,E1,Power,full_scenario,2,2,,0.6,11.615,69.375,6.5,6.5,-5.9,5.115,62.875,atomic_fixed|event_triggers|recurring_turns,,"At the start of your turn, lose 1 HP. Whenever you lose HP on your turn, deal 6 damage to ALL enemies."
ARSENAL,무기고,Arsenal,regent,character,Rare,E1,Power,full_scenario,1,1,,3.25,11.375,58.5,6.5,6.5,-3.25,4.875,52.0,atomic_fixed|event_triggers,,"Whenever you create a card, gain 1 Strength."
RUPTURE,파열,Rupture,ironclad,character,Uncommon,E1,Power,full_scenario,1,1,,3.25,11.375,58.5,6.5,6.5,-3.25,4.875,52.0,atomic_fixed|event_triggers,,"Whenever you lose HP on your turn, gain 1 Strength."
SMOKESTACK,배기 장치,Smokestack,defect,character,Uncommon,E1,Power,full_scenario,1,1,,3.25,11.375,58.5,6.5,6.5,-3.25,4.875,52.0,atomic_fixed|event_triggers,,"Whenever you create a Status, deal 5 damage to ALL enemies."
