rule,card_count
atomic_fixed,235
simple_fixed_v3,154
recurring_turns,35
event_triggers,28
condition_probability,23
scaling_count,19
multi_hit_strength_synergy,18
delay_next_turn,14
x_value,10
atomic_osty_damage,10
equal_to_quantity,9
atomic_temporary_stat,7
atomic_self_damage,6
atomic_enemy_strength_loss_turn,6
atomic_free_generated_card,5
threshold_triggers,4
atomic_selected_exhaust,4
atomic_random_colorless_card,4
all_players,4
atomic_intangible,3
atomic_retain_hand,3
atomic_exhaust_hand,3
atomic_hand_to_topdeck,3
atomic_copy_self_discard,2
atomic_upgrade,2
atomic_no_more_draw,2
atomic_lose_focus_conditional_stock,2
atomic_delayed_self_return,2
atomic_random_attack_card,2
atomic_random_card_card,2
atomic_orb_slot,2
atomic_hp_bypass,2
atomic_random_exhaust,2
atomic_evoke_orb,2
atomic_retrieve_topdeck,2
atomic_random_power_card,2
conditional_extra_hits,2
atomic_self_debuff,2
atomic_copy_selected_hand,2
recurring_resource_turns,2
atomic_lose_strength_conditional_stock,2
atomic_retrieve_hand,2
atomic_random_target_damage,2
atomic_discard_hand,2
random_target,2
atomic_inky_shiv,1
doom_equal_damage,1
atomic_random_target_poison,1
atomic_orb_slot_loss,1
atomic_free_hand,1
atomic_random_target_doom,1
atomic_random_skill_card,1
double_current_block,1
atomic_grant_sly,1
atomic_random_common_card,1
atomic_random_replay,1
fixed_delayed_turns,1
atomic_trigger_orb,1
atomic_heal_meta,1
orb_diversity_bundle,1
atomic_enemy_strength_loss,1
atomic_grant_ethereal,1
atomic_three_souls,1
atomic_grant_retain,1
fixed_delay_n,1
atomic_grant_replay,1
atomic_retain_up_to,1
atomic_lose_dexterity_conditional_stock,1
