rule,card_id,name_ko,name_en,type,benchmark_v2,benchmark_v3,fixed_score,score_per_unit,required_value_to_hit_benchmark,assumption_low,assumption_baseline,assumption_high,inside_scenario_range
event_triggers,AFTERIMAGE,잔상,Afterimage,Power,6.5,6.5,-0.0,0.6,10.833,1.0,3.5,18.0,True
event_triggers,ARSENAL,무기고,Arsenal,Power,6.5,6.5,0.0,3.25,2.0,1.0,3.5,18.0,True
threshold_triggers,AUTOMATION,자동화,Automation,Power,6.8,6.8,0.0,2.5,2.72,0.0,1.8,4.0,True
scaling_count,BARRAGE,일제 사격,Barrage,Attack,5.3,5.3,0.0,2.5,2.12,1.0,2.2,10.0,True
event_triggers,BLACK_HOLE,블랙홀,Black Hole,Power,6.5,6.5,0.0,1.95,3.333,1.0,3.5,18.0,True
condition_probability,BUBBLE_BUBBLE,차오르는 독,Bubble Bubble,Skill,6.5,6.5,0.0,9.0,0.722,0.0,0.7,1.0,True
event_triggers,CALAMITY,재앙,Calamity,Power,14.5,14.5,0.0,3.0,4.833,1.0,3.5,18.0,True
scaling_count,CHILL,오한,Chill,Skill,5.0,4.3,-1.0,3.2,1.656,1.0,2.2,10.0,True
scaling_count,COMPILE_DRIVER,컴파일 드라이버,Compile Driver,Attack,5.3,5.3,3.5,1.25,1.44,1.0,2.2,10.0,True
event_triggers,CORROSIVE_WAVE,부식성 파도,Corrosive Wave,Skill,6.5,6.5,0.0,2.6,2.5,1.0,3.5,18.0,True
recurring_turns,COUNTDOWN,카운트다운,Countdown,Power,6.5,6.5,0.0,1.458,4.458,1.5,3.7,6.0,True
recurring_turns,CREATIVE_AI,창의적인 인공지능,Creative AI,Power,20.0,20.0,0.0,5.0,4.0,1.5,3.7,6.0,True
recurring_turns,CRIMSON_MANTLE,핏빛 망토,Crimson Mantle,Power,6.5,6.5,0.0,4.25,1.529,1.5,3.7,6.0,True
event_triggers,DANSE_MACABRE,죽음의 무도,Danse Macabre,Power,6.5,6.5,-0.0,2.4,2.708,1.0,3.5,18.0,True
event_triggers,DARK_EMBRACE,어둠의 포옹,Dark Embrace,Power,17.0,17.0,0.0,1.25,13.6,1.0,3.5,18.0,True
recurring_turns,DEMESNE,권역,Demesne,Power,20.0,20.0,-1.0,3.75,5.6,1.5,3.7,6.0,True
recurring_turns,DEMON_FORM,악마의 형상,Demon Form,Power,20.0,20.0,0.0,6.5,3.077,1.5,3.7,6.0,True
event_triggers,DEVOUR_LIFE,생명 삼키기,Devour Life,Power,6.5,6.5,0.0,1.1,5.909,1.0,3.5,18.0,True
