template_en,card_count,card_ids
ALL players add {n} Souls into their Draw Pile.,1,GLIMPSE_BEYOND
Add a copy of the third Attack you play each turn into your Hand.,1,JUGGLING
Add a {n} Energy copy of this card into your Discard Pile.,1,ADAPTIVE_STRIKE
Add {n} random Attacks into your Draw Pile.,1,METAMORPHOSIS
Add {n} random {n} Energy cards into your Hand.,1,JACKPOT
Allies take half damage from enemies.,1,TANK
Another player Channels Plasma.,1,IGNITION
Another player adds {n} random Colorless card to their Hand.,1,LARGESSE
Another player gains {n} Energy.,1,BELIEVE_IN_YOU
Apply any debuffs on the enemy to ALL other enemies.,1,MISERY
"Apply {n} Doom, plus an additional {n} Doom for every {n} Doom already on this enemy.",1,NO_ESCAPE
"At the end of combat, gain {n} Gold.",1,ROYALTIES
"At the end of combat, you may remove a card from your Deck.",1,FORBIDDEN_GRIMOIRE
"At the end of your turn, if this is in your Exhaust Pile, play it.",1,HOWL_FROM_BEYOND
"At the end of your turn, if this is in your Hand, lose {n} Gold.",1,DEBT
"At the end of your turn, if this is on top of your Draw Pile, play it.",1,I_AM_INVINCIBLE
"At the end of your turn, {n} random Attack in your Hand is played against a random enemy.",1,STAMPEDE
"At the start of your turn, Transform {n} card in your Hand.",1,ENTROPY
"At the start of your turn, add {n} Sweeping Gaze into your Hand.",1,SENTRY_MODE
"At the start of your turn, apply {n} Doom to yourself.",1,NEUROSURGE
"At the start of your turn, deal {n} damage to ALL enemies and increase this damage by {n}.",1,ROLLING_BOULDER
"At the start of your turn, draw {n} card and Exhaust {n} card from your Hand.",1,TYRANNY
"At the start of your turn, if this is in your Exhaust Pile, play it.",1,BOMBARDMENT
"At the start of your turn, play the top card of your Draw Pile.",1,MAYHEM
"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.",1,AGGRESSION
Block is not removed at the start of your next turn.,1,BLUR
Block is not removed at the start of your turn.,1,BARRICADE
Blocked attack damage is reflected to your attacker this turn.,1,REFLECT
Can be hatched at a Rest Site.,1,BYRDONIS_EGG
Can only be played if every card in your Hand is an Attack.,1,CLASH
Can only be played if there are no cards in your Draw Pile.,1,GRAND_FINALE
Cards cost an additional {n} Energy this turn.,1,BORROWED_TIME
Channel Lightning equal to the Lightning already Channeled this combat.,1,VOLTAIC
Channel {n} random Orb.,1,CHAOS
Choose a Colorless card in your Hand.,1,HEIRLOOM_HAMMER
Choose a Skill in your Hand and play it {n} times.,1,DECISIONS_DECISIONS
Choose a card in your Hand to Transform into Minion Strike.,1,BEGONE
Choose a card.,1,NIGHTMARE
