rule,confidence,effect_count
atomic_fixed,high,270
atomic_fixed,medium,126
keyword_exhaust,medium,95
keyword_unplayable,medium,26
cost_star_spend,low,21
multi_hit_strength_synergy,medium,16
atomic_fixed+event_triggers,medium,14
keyword_ethereal,medium,13
atomic_fixed+recurring_turns,low,12
keyword_retain,medium,11
atomic_fixed+delay_next_turn,medium,10
atomic_fixed+event_triggers,low,10
atomic_osty_damage,high,10
atomic_fixed+condition_probability,low,9
keyword_innate,medium,9
additional_damage_scaling,medium,8
atomic_fixed,low,8
equal_to_quantity,low,8
keyword_sly,low,8
atomic_fixed+scaling_count,medium,7
keyword_eternal_meta,medium,7
atomic_enemy_strength_loss_turn,medium,6
atomic_fixed+scaling_count,low,6
tutor_to_hand,medium,6
atomic_free_generated_card,high,5
atomic_self_damage+condition_probability+recurring_turns,medium,5
keyword_ethereal_cleanup,medium,5
atomic_fixed+x_value,low,4
atomic_fixed+x_value,medium,4
auto_play_from_pile,low,4
double_damage_window,low,4
keyword_exhaust_cleanup,medium,4
next_card_free,medium,4
next_card_replay,low,4
atomic_exhaust_hand,low,3
atomic_hand_to_topdeck,medium,3
atomic_retain_hand,high,3
atomic_selected_exhaust,high,3
atomic_temporary_stat,high,3
cost_increase,medium,3
cost_reduction,medium,3
cost_reduction_scaling_capped,medium,3
play_restriction,low,3
selection_scope,high,3
self_auto_replay,low,3
additional_damage_equal,low,2
all_players+atomic_fixed,low,2
all_players+atomic_fixed,medium,2
archetype_damage_growth,low,2
atomic_copy_selected_hand,low,2
atomic_copy_self_discard,low,2
atomic_delayed_self_return,low,2
atomic_discard_hand,medium,2
atomic_fixed+condition_probability,medium,2
atomic_fixed+condition_probability+recurring_turns,medium,2
atomic_fixed+delay_next_turn,high,2
atomic_fixed+recurring_resource_turns,low,2
atomic_fixed+threshold_triggers,low,2
atomic_fixed+threshold_triggers,medium,2
atomic_intangible,high,2
atomic_lose_strength_conditional_stock,low,2
atomic_no_more_draw,low,2
atomic_orb_slot,medium,2
atomic_random_colorless_card,low,2
atomic_random_exhaust,low,2
atomic_random_target_damage,low,2
atomic_retrieve_hand,high,2
atomic_retrieve_topdeck,medium,2
atomic_temporary_stat,medium,2
atomic_upgrade,medium,2
bulk_transform,low,2
bulk_tutor_to_hand,low,2
cost_to_zero,medium,2
discover_restricted_card,low,2
meta_event_unlock,low,2
meta_gold,medium,2
multi_hit_strength_synergy,low,2
percent_damage_reduction,low,2
random_target+x_value,medium,2
retaliation_damage,low,2
absorb_random_attack_damage,low,1
all_attack_hand_gate,low,1
atomic_enemy_strength_loss,medium,1
atomic_evoke_orb,low,1
atomic_evoke_orb+recurring_turns,low,1
atomic_fixed+condition_probability+recurring_turns,low,1
atomic_fixed+condition_probability+recurring_turns+scaling_count,medium,1
atomic_fixed+delay_next_turn,low,1
atomic_fixed+event_triggers+scaling_count,low,1
atomic_fixed+fixed_delay_n,high,1
atomic_fixed+fixed_delayed_turns,low,1
atomic_fixed+recurring_turns+scaling_count,low,1
atomic_free_hand,low,1
atomic_grant_ethereal,high,1
atomic_grant_retain,high,1
atomic_grant_sly,medium,1
atomic_heal_meta,low,1
atomic_hp_bypass,high,1
atomic_hp_bypass+event_triggers,medium,1
atomic_inky_shiv,high,1
atomic_intangible+condition_probability,medium,1
atomic_lose_dexterity_conditional_stock+recurring_turns,low,1
atomic_lose_focus_conditional_stock,low,1
atomic_lose_focus_conditional_stock+recurring_turns,low,1
atomic_orb_slot_loss,high,1
atomic_random_attack_card,low,1
atomic_random_attack_card+event_triggers,low,1
atomic_random_card_card+recurring_turns,low,1
atomic_random_card_card+scaling_count,low,1
atomic_random_colorless_card+recurring_turns,low,1
atomic_random_common_card+recurring_turns,low,1
atomic_random_power_card,low,1
atomic_random_power_card+recurring_turns,low,1
atomic_random_replay,low,1
atomic_random_skill_card,low,1
atomic_random_target_doom+recurring_turns,low,1
atomic_random_target_poison,low,1
atomic_retain_up_to+recurring_turns,medium,1
atomic_selected_exhaust,medium,1
atomic_self_damage+recurring_turns,medium,1
atomic_self_debuff+condition_probability+recurring_turns,low,1
atomic_self_debuff+condition_probability+recurring_turns,medium,1
atomic_temporary_stat+event_triggers,medium,1
atomic_temporary_stat+scaling_count,low,1
atomic_three_souls,medium,1
atomic_trigger_orb+recurring_turns,low,1
attack_damage_to_doom,low,1
attack_trigger_temp_strength_loss,low,1
blade_gain_aoe,low,1
blade_gain_block,medium,1
block_trigger_damage,low,1
buffer_prevention,low,1
card_play_doom_turn,low,1
card_play_trigger_damage,low,1
conditional_cost_zero,medium,1
conditional_extra_block,medium,1
conditional_extra_hits,low,1
conditional_extra_hits,medium,1
conditional_repeat_block,medium,1
coop_block,medium,1
coop_block_equal,low,1
coop_double_attack_damage,low,1
coop_energy,medium,1
coop_forge,low,1
coop_plasma,medium,1
coop_random_colorless,low,1
coop_share_half_block,low,1
coop_soul_generation,low,1
coop_temporary_strength,medium,1
copy_selected_to_hand,low,1
copy_self_discard_zero,low,1
cost_star_x_spend,low,1
damage_per_combat_draw,low,1
damage_per_exhausted_hand_card,low,1
damage_per_osty_attack,low,1
damage_per_strike_card,low,1
damage_per_unique_debuff,low,1
damage_reduction_scaling,medium,1
debuff_trigger_damage,low,1
defend_block_aura,low,1
delay_next_turn+equal_to_quantity,low,1
delayed_energy_and_stars,medium,1
delayed_three_selected_copies,low,1
discard_scrape_misses,low,1
discover_card,low,1
doom_equal_damage,high,1
doom_execute,low,1
doom_threshold_scaling,low,1
double_block_gain_turn,low,1
double_current_block,low,1
double_current_energy,low,1
double_debuff_effect,low,1
double_vulnerable,low,1
draw_pile_empty_gate,low,1
draw_to_full,low,1
draw_to_six,low,1
draw_trigger_energy_loss,medium,1
draw_until_non_attack,low,1
encounter_escape_progress,low,1
encounter_sandpit_progress,low,1
end_turn_penalty,low,1
enemy_strength_gain,medium,1
enemy_strength_loss,medium,1
enemy_stun,low,1
energy_gain_lock,low,1
evoke_all_twice,low,1
exhaust_non_attacks,low,1
exhaust_status_cleanup,low,1
extra_hits_per_hp_loss,low,1
extra_poison_trigger,low,1
fatal_max_hp_gain,low,1
fill_hand_status,low,1
first_attack_percent_bonus,low,1
first_block_doubled_each_turn,low,1
first_card_each_turn_replay,low,1
first_card_recurring_topdeck,low,1
first_shiv_bonus_each_turn,low,1
fixed_future_turn_block,medium,1
forge_per_prior_hit,low,1
gambit_death_risk,low,1
generated_card_ethereal,medium,1
generated_cards_free,low,1
grant_replay,low,1
hand_cost_floor_one,low,1
hand_cost_increase,low,1
hand_redraw_equal,low,1
hang_damage_amplifier,low,1
intercept_attacks,low,1
lightning_followup_damage,low,1
lightning_history_scaling,low,1
meta_card_reward,low,1
meta_deck_removal,low,1
meta_future_gold_site,low,1
meta_max_hp_loss,medium,1
meta_random_potion,low,1
multi_evoke,low,1
next_card_topdeck,medium,1
orb_diversity_bundle,low,1
osty_alive_combo,medium,1
osty_damage_aura,low,1
osty_damage_debuff,medium,1
osty_death,low,1
osty_extra_hits,low,1
osty_heal,medium,1
osty_hp_mirror_damage,low,1
osty_random_damage,medium,1
partial_tutor_draw_to_hand,medium,1
percent_damage_bonus,low,1
permanent_block_growth,low,1
permanent_damage_growth,low,1
persistent_weak_double_damage,low,1
play_exhausted_shivs,low,1
random_attacks_to_draw,low,1
random_damage_per_exhausted,low,1
random_damage_twice,medium,1
random_fixed_cost_cards,low,1
random_orb,medium,1
recurring_draw_and_exhaust,low,1
recurring_draw_reduction,low,1
recurring_energy_reduction,low,1
recurring_gold_loss_curse,low,1
recurring_growing_aoe,low,1
recurring_random_attack_autoplay,low,1
recurring_random_transform,low,1
recurring_self_doom,low,1
recurring_sweeping_gaze,low,1
recurring_topdeck_autoplay,low,1
recurring_upgraded_attack_retrieval,low,1
reflect_blocked_damage,low,1
repeat_aoe_per_kill,low,1
retain_block_once,low,1
retain_block_power,low,1
retrieve_sovereign_blade,medium,1
sacrifice_osty_for_block,low,1
selected_card_multi_play,low,1
selected_exhaust_three,medium,1
selected_replay_with_combo_range,low,1
self_damage_growth_combat,low,1
self_damage_growth_on_draw,low,1
self_exhaust_energy,medium,1
self_removing_curse,low,1
self_return_hand,low,1
self_return_on_expensive_card,low,1
self_return_skill_threshold,low,1
self_topdeck,low,1
shiv_aoe_conversion,low,1
shiv_damage_aura,low,1
shiv_retain_aura,low,1
shuffle_all_piles,low,1
shuffle_tutor,low,1
skill_exhaust_aura,low,1
skill_gains_sly,low,1
skills_cost_zero,low,1
soul_trigger_hp_loss,low,1
splash_damage_copy,medium,1
spread_debuffs,low,1
status_draw_compensation,low,1
status_trigger_random_orb,low,1
strike_draw_autoplay,low,1
strip_enemy_defense,low,1
three_random_colorless_diminishing,low,1
threshold_delayed_draw_recurring,low,1
transform_hand_to_minion_sacrifice,low,1
transform_to_minion_strike,medium,1
transform_to_soul,medium,1
transform_two_to_dive_bombs,low,1
trigger_all_dark,low,1
trigger_all_lightning,low,1
two_free_cards_each_turn,low,1
two_turn_block_lock,low,1
upgrade_all_cards,low,1
x_enemy_strength_loss,medium,1
x_evoke,low,1
x_summon,medium,1
x_threshold_double,low,1
x_topdeck_autoplay,low,1
zero_cost_attack_return,low,1
