card_id,name_ko,name_en,pool,rarity,cost,type,score_low,score_baseline,score_high,score_width,confidence_score,confidence_grade,low_confidence_effects,fallback_effects,benchmark_v4,benchmark_method,benchmark_comparable,residual_low,residual_baseline,residual_high,rank_low_scenario,rank_baseline_scenario,rank_high_scenario,rank_span,rank_stability,rules,description_en
THE_GAMBIT,포석,The Gambit,colorless,Rare,E0,Skill,-5.0,5.0,27.0,32.0,0.736,C,1,0,5.0,v3_table,True,-10.0,0.0,22.0,64,45,5,59,0.063,atomic_fixed|gambit_death_risk,"Gain 50 Block. If you take unblocked attack damage this combat, die."
GRAND_FINALE,대단원의 막,Grand Finale,silent,Rare,E0,Attack,0.0,11.7,39.0,39.0,0.761,C,1,0,6.5,v3_table,True,-6.5,5.2,32.5,82,9,2,80,0.08,atomic_fixed|draw_pile_empty_gate,Can only be played if there are no cards in your Draw Pile. Deal 60 damage to ALL enemies.
OUTBREAK,발병,Outbreak,silent,Uncommon,E1,Power,0.0,12.87,28.6,28.6,0.72,C,0,0,6.5,v3_table,True,-6.5,6.37,22.1,84,4,6,80,0.08,atomic_fixed+threshold_triggers,"Every 3 times you apply Poison, deal 11 damage to ALL enemies."
INFERNO,불바다,Inferno,ironclad,Uncommon,E1,Power,0.6,11.615,69.375,68.775,0.687,C,1,0,6.5,v3_table,True,-5.9,5.115,62.875,80,19,1,79,0.081,atomic_fixed+event_triggers|atomic_fixed+recurring_turns,"At the start of your turn, lose 1 HP. Whenever you lose HP on your turn, deal 6 damage to ALL enemies."
SECOND_WIND,기사회생,Second Wind,ironclad,Uncommon,E1,Skill,0.0,6.1,33.0,33.0,0.665,C,1,0,6.5,v3_table,True,-6.5,-0.4,26.5,85,55,7,78,0.093,atomic_fixed+scaling_count|exhaust_non_attacks,Exhaust all non-Attack cards in your Hand. Gain 5 Block for each card Exhausted.
VOID_FORM,공허의 형상,Void Form,regent,Rare,E3,Power,-5.5,11.5,27.0,32.5,0.432,C,2,0,20.0,v3_table,True,-25.5,-8.5,7.0,86,12,8,78,0.103,end_turn_penalty|keyword_ethereal|two_free_cards_each_turn,End your turn. The first 2 cards you play each turn are free to play.
BULLET_TIME,불릿 타임,Bullet Time,silent,Rare,E3,Skill,-3.05,9.1,25.0,28.05,0.42,C,2,0,20.0,v3_table,True,-23.05,-10.9,5.0,87,21,10,77,0.115,atomic_free_hand|atomic_no_more_draw,You cannot draw additional cards this turn. ALL cards in your Hand are free to play this turn.
ENTROPY,엔트로피,Entropy,colorless,Rare,E1,Power,-3.0,5.55,24.0,27.0,0.42,C,1,0,9.0,v3_table,True,-12.0,-3.45,15.0,63,41,8,55,0.127,recurring_random_transform,"At the start of your turn, Transform 1 card in your Hand."
CHILD_OF_THE_STARS,별의 아이,Child of the Stars,regent,Uncommon,E1,Power,1.2,9.24,216.0,214.8,0.42,C,1,0,6.5,v3_table,True,-5.3,2.74,209.5,76,20,1,75,0.138,atomic_fixed+event_triggers+scaling_count,"Whenever you spend 1 Stars, gain 2 Block for each 1 Stars spent."
PANACHE,위풍당당,Panache,colorless,Uncommon,E0,Power,0.0,11.7,26.0,26.0,0.72,C,0,0,4.25,v3_table,True,-4.25,7.45,21.75,60,9,6,54,0.143,atomic_fixed+threshold_triggers,"Every time you play 5 cards in a single turn, deal 10 damage to ALL enemies."
