card_id,name_ko,name_en,pool,rarity,cost,type,score_low,score_baseline,score_high,score_width,confidence_score,confidence_grade,low_confidence_effects,fallback_effects,benchmark_v4,benchmark_method,benchmark_comparable,residual_low,residual_baseline,residual_high,rank_low_scenario,rank_baseline_scenario,rank_high_scenario,rank_span,rank_stability,rules,description_en
MONARCHS_GAZE,군주의 시선,Monarch's Gaze,regent,Rare,E2,Power,0.9,3.15,16.2,15.3,0.42,C,1,0,17.0,v3_table,True,-16.1,-13.85,-0.8,77,66,21,56,0.356,attack_trigger_temp_strength_loss,"Whenever you attack an enemy, it loses 1 Strength this turn."
NIGHTMARE,악몽,Nightmare,silent,Rare,E3,Skill,1.4,6.2,18.2,16.8,0.488,C,1,0,20.0,v3_table,True,-18.6,-13.8,-1.8,72,46,19,53,0.391,delayed_three_selected_copies|keyword_exhaust|selection_scope,"Choose a card. Next turn, add 3 copies of that card into your Hand."
ROLLING_BOULDER,굴러가는 바위,Rolling Boulder,colorless,Rare,E3,Power,6.094,28.259,68.25,62.156,0.42,C,1,0,14.5,v3_table,True,-8.406,13.759,53.75,20,1,1,19,0.698,recurring_growing_aoe,"At the start of your turn, deal 5 damage to ALL enemies and increase this damage by 5."
ENVENOM,독 바르기,Envenom,silent,Rare,E2,Power,1.0,3.5,18.0,17.0,0.72,C,0,0,17.0,v3_table,True,-16.0,-13.5,1.0,75,77,20,57,0.345,atomic_fixed+event_triggers,"Whenever an Attack deals unblocked damage, apply 1 Poison."
DARK_EMBRACE,어둠의 포옹,Dark Embrace,ironclad,Rare,E2,Power,1.25,4.375,22.5,21.25,0.42,C,1,0,17.0,v3_table,True,-15.75,-12.625,5.5,76,75,23,53,0.384,atomic_fixed+event_triggers,"Whenever a card is Exhausted, draw 1 card."
COMET,혜성,Comet,regent,Rare,E0+S5,Attack,18.8,18.8,18.8,0.0,0.762,B,1,0,6.5,energy_table_star_cost_separated,True,12.3,12.3,12.3,1,5,18,17,0.805,atomic_fixed|cost_star_spend,Deal 33 damage. Apply 3 Weak. Apply 3 Vulnerable.
VOLTAIC,동전기,Voltaic,defect,Rare,E3,Skill,1.2,7.8,21.0,19.8,0.451,C,1,0,20.0,v3_table,True,-18.8,-12.2,1.0,79,36,23,56,0.356,keyword_exhaust|lightning_history_scaling,Channel Lightning equal to the Lightning already Channeled this combat.
JUGGLING,저글링,Juggling,ironclad,Uncommon,E1,Power,3.0,18.5,60.0,57.0,0.42,C,1,0,6.5,v3_table,True,-3.5,12.0,53.5,61,5,2,59,0.314,copy_selected_to_hand,Add a copy of the third Attack you play each turn into your Hand.
MULTI_CAST,다중 시전,Multi-Cast,defect,Rare,EX,Skill,0.75,5.0,24.0,23.25,0.42,C,1,0,17.0,x_as_2_energy,True,-16.25,-12.0,7.0,81,64,18,63,0.276,x_evoke,Evoke your rightmost Orb X times.
SWORD_SAGE,검성,Sword Sage,regent,Rare,E2,Power,2.0,5.0,9.0,7.0,0.42,C,1,0,17.0,v3_table,True,-15.0,-12.0,-8.0,70,56,45,25,0.713,grant_replay,Sovereign Blade gains Replay 1.
BULLET_TIME,불릿 타임,Bullet Time,silent,Rare,E3,Skill,-3.05,9.1,25.0,28.05,0.42,C,2,0,20.0,v3_table,True,-23.05,-10.9,5.0,87,21,10,77,0.115,atomic_free_hand|atomic_no_more_draw,You cannot draw additional cards this turn. ALL cards in your Hand are free to play this turn.
REAPER_FORM,사신의 형상,Reaper Form,necrobinder,Rare,E3,Power,2.7,9.45,21.6,18.9,0.42,C,1,0,20.0,v3_table,True,-17.3,-10.55,1.6,64,25,19,45,0.483,attack_damage_to_doom,"Whenever Attacks deal damage, apply that much Doom."
MASTER_PLANNER,설계의 대가,Master Planner,silent,Rare,E2,Power,2.0,7.0,16.0,14.0,0.42,C,1,0,17.0,v3_table,True,-15.0,-10.0,-1.0,64,37,24,40,0.54,skill_gains_sly,"When you play a Skill, it gains Sly."
MALAISE,불쾌,Malaise,silent,Rare,EX,Skill,3.1,7.2,15.4,12.3,0.583,C,1,0,17.0,x_as_2_energy,True,-13.9,-9.8,-1.6,48,34,27,21,0.759,atomic_fixed+x_value|keyword_exhaust|x_enemy_strength_loss,Enemy loses X Strength. Apply X Weak.
CRIMSON_MANTLE,핏빛 망토,Crimson Mantle,ironclad,Rare,E1,Power,6.375,15.725,25.5,19.125,0.42,C,1,0,6.5,v3_table,True,-0.125,9.225,19.0,20,10,19,10,0.884,atomic_fixed+recurring_turns,"At the start of your turn, lose 1 HP and gain 8 Block."
BONE_SHARDS,뼛조각,Bone Shards,necrobinder,Uncommon,E1,Attack,-25.0,-2.535,7.665,32.665,0.548,C,1,0,6.5,v3_table,True,-31.5,-9.035,1.165,88,88,53,35,0.598,osty_alive_combo|osty_death,"If Osty is alive, he deals 9 damage to ALL enemies and you gain 9 Block. Osty dies."
BUFFER,버퍼,Buffer,defect,Rare,E2,Power,3.0,8.0,18.0,15.0,0.42,C,1,0,17.0,v3_table,True,-14.0,-9.0,1.0,53,35,30,23,0.736,buffer_prevention,Prevent the next time you would lose HP.
CASCADE,연쇄,Cascade,ironclad,Rare,EX,Skill,2.0,8.0,28.0,26.0,0.42,C,1,0,17.0,x_as_2_energy,True,-15.0,-9.0,11.0,69,34,15,54,0.372,x_topdeck_autoplay,Play the top X cards of your Draw Pile.
HAMMER_TIME,망치질 시간,Hammer Time,regent,Rare,E2,Power,2.0,8.0,25.0,23.0,0.42,C,1,0,17.0,v3_table,True,-15.0,-9.0,8.0,68,26,9,59,0.322,coop_forge,"Whenever you Forge, all allies Forge as well."
HEAVENLY_DRILL,천원돌파,Heavenly Drill,regent,Rare,EX,Attack,4.0,8.0,32.0,28.0,0.62,C,1,0,17.0,x_as_2_energy,True,-13.0,-9.0,15.0,44,27,6,38,0.563,atomic_fixed+x_value|x_threshold_double,Deal 8 damage X times. Double X if it's 4 or more.
KNIFE_TRAP,칼날 함정,Knife Trap,silent,Rare,E2,Skill,0.0,8.0,20.0,20.0,0.42,C,1,0,17.0,v3_table,True,-17.0,-9.0,3.0,83,28,17,66,0.241,play_exhausted_shivs,Play every Shiv in your Exhaust Pile on the enemy.
VOID_FORM,공허의 형상,Void Form,regent,Rare,E3,Power,-5.5,11.5,27.0,32.5,0.432,C,2,0,20.0,v3_table,True,-25.5,-8.5,7.0,86,12,8,78,0.103,end_turn_penalty|keyword_ethereal|two_free_cards_each_turn,End your turn. The first 2 cards you play each turn are free to play.
