category,effect,low,baseline,high,confidence,evidence_count,basis
atomic_unit,damage_single,0.5,0.5,0.5,high,0,V2 anchor/card-pair calibration
atomic_unit,damage_all,0.65,0.65,0.65,high,0,V2 anchor/card-pair calibration
atomic_unit,block,0.6,0.6,0.6,high,0,V2 anchor/card-pair calibration
atomic_unit,draw,1.062,1.75,2.042,medium,8,V2 anchor/card-pair calibration
atomic_unit,discard_selected,-0.5,-0.5,-0.5,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,energy,2.288,2.5,3.469,medium,6,V2 anchor/card-pair calibration
atomic_unit,stars,0.65,1.5,1.5,low_context,3,V2 anchor/card-pair calibration
atomic_unit,hp_loss,-0.604,-0.55,-0.45,high,4,V2 anchor/card-pair calibration
atomic_unit,weak,1.975,2.1,2.55,medium,4,V2 anchor/card-pair calibration
atomic_unit,vulnerable,1.4,2.0,2.25,medium,6,V2 anchor/card-pair calibration
atomic_unit,poison,0.913,1.0,1.137,high,3,V2 anchor/card-pair calibration
atomic_unit,doom,0.263,0.27,0.288,high,3,V2 anchor/card-pair calibration
atomic_unit,forge,0.309,0.33,0.37,medium,3,V2 anchor/card-pair calibration
atomic_unit,summon,0.938,1.1,1.1,high,4,V2 anchor/card-pair calibration
atomic_unit,shiv,1.8,1.9,2.0,high,3,V2 anchor/card-pair calibration
atomic_unit,soul,1.0,1.0,1.0,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,lightning,2.1,2.2,2.7,low_prior,2,V2 anchor/card-pair calibration
atomic_unit,frost,2.925,3.2,3.625,low_prior,3,V2 anchor/card-pair calibration
atomic_unit,dark,4.4,4.4,4.4,low_prior,1,V2 anchor/card-pair calibration
atomic_unit,glass,3.5,3.5,3.5,low_prior,2,V2 anchor/card-pair calibration
atomic_unit,plasma,7.0,7.0,7.0,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,strength,3.25,3.25,3.25,high,1,V2 anchor/card-pair calibration
atomic_unit,dexterity,3.25,3.25,3.25,high,1,V2 anchor/card-pair calibration
atomic_unit,focus,6.5,6.5,6.5,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,vigor,0.5,0.5,0.5,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,plating,1.6,1.6,1.625,medium,1,V2 anchor/card-pair calibration
atomic_unit,thorns,0.5,0.5,0.5,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,wound,-0.65,-0.65,-0.65,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,dazed,-0.9,-0.9,-0.9,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,slimed,-0.7,-0.7,-0.7,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,void,-2.3,-2.3,-2.3,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,burn,-1.5,-1.5,-1.5,low_prior,0,V2 anchor/card-pair calibration
atomic_unit,debris,-2.8,-2.8,-2.8,low_prior,0,V2 anchor/card-pair calibration
draw_curve,first_draw,1.062,1.25,2.042,medium,8,nonlinear V3 draw curve
draw_curve,each_additional_draw,1.5,2.15,2.5,medium,8,multi-draw residual correction
target_modifier,all_enemies_multiplier,1.2,1.3,1.4,medium,27,strict damage/Block anchors
timing_modifier,next_turn_multiplier,0.7,0.8,0.9,low,,delay prior
printed_cost_effect,spend_1_star,-2.5,-2.0,-1.5,low,21,printed Star payment is subtracted from the card effect score
printed_cost_effect,spend_x_stars,-8.0,-4.0,-2.0,low,1,-2 points per Star across X=1/2/4 scenarios
keyword,exhaust,-1.0,-1.0,-1.0,low,,keyword opportunity/cleanup model
keyword,ethereal,-1.0,-1.0,-1.0,low,,keyword opportunity/cleanup model
keyword,innate,0.5,0.5,0.5,low,,keyword opportunity/cleanup model
keyword,retain,0.5,0.5,0.5,low,,keyword opportunity/cleanup model
keyword,eternal,0.0,0.0,0.0,medium,,keyword opportunity/cleanup model
keyword,sly,scenario,scenario,scenario,low,,keyword opportunity/cleanup model
keyword,unplayable,scenario,scenario,scenario,low,,keyword opportunity/cleanup model
scenario_count,condition_probability,0.0,0.7,1.0,low,,explicit conservative/baseline/optimistic assumption
scenario_count,recurring_turns,1.5,3.7,6.0,low,,explicit conservative/baseline/optimistic assumption
scenario_count,recurring_resource_turns,2.0,6.8,10.0,low,,explicit conservative/baseline/optimistic assumption
scenario_count,event_triggers,1.0,3.5,18.0,low,,explicit conservative/baseline/optimistic assumption
scenario_count,threshold_triggers,0.0,1.8,4.0,low,,explicit conservative/baseline/optimistic assumption
scenario_count,scaling_count,1.0,2.2,10.0,low,,explicit conservative/baseline/optimistic assumption
scenario_count,x_value,1.0,2.0,4.0,low,,explicit conservative/baseline/optimistic assumption
scenario_count,equal_to_quantity,3.0,8.0,15.0,low,,explicit conservative/baseline/optimistic assumption
