group,count,median_residual,median_absolute_residual,rmse,within_1,within_2,interval_contains_benchmark,interval_coverage
all,474,-0.3,1.5,3.625,190,280,269,0.568
confidence_grade:A,90,0.0,0.5,0.995,69,83,17,0.189
confidence_grade:B,123,-0.3,1.0,2.45,64,86,23,0.187
confidence_grade:C,261,-1.0,2.5,4.55,57,111,229,0.877
pool:colorless,64,-1.05,2.065,3.35,18,32,34,0.531
pool:curse,0,,,,0,0,0,
pool:defect,84,0.0,1.745,3.442,30,45,53,0.631
pool:event,0,,,,0,0,0,
pool:ironclad,83,-0.1,1.1,3.524,41,54,56,0.675
pool:necrobinder,83,-0.4,1.75,3.322,34,51,47,0.566
pool:quest,0,,,,0,0,0,
pool:regent,84,-0.363,1.475,3.921,35,50,35,0.417
pool:silent,76,-0.45,1.425,4.101,32,48,44,0.579
pool:status,0,,,,0,0,0,
pool:token,0,,,,0,0,0,
rarity:Ancient,0,,,,0,0,0,
rarity:Basic,0,,,,0,0,0,
rarity:Common,106,0.1,0.57,1.108,80,95,27,0.255
rarity:Curse,0,,,,0,0,0,
rarity:Event,0,,,,0,0,0,
rarity:Quest,0,,,,0,0,0,
rarity:Rare,152,-2.5,3.5,5.411,30,50,112,0.737
rarity:Status,0,,,,0,0,0,
rarity:Token,0,,,,0,0,0,
rarity:Uncommon,216,-0.2,1.5,2.764,80,135,130,0.602
cost:E-1,0,,,,0,0,0,
cost:E0,78,-0.25,1.218,2.291,33,53,36,0.462
cost:E0+S1,1,-0.5,0.5,0.5,1,1,0,0.0
cost:E0+S2,3,-0.4,1.4,2.621,1,2,1,0.333
cost:E0+S3,3,-0.65,4.4,3.995,1,1,0,0.0
cost:E0+S5,2,5.25,7.05,8.79,0,1,0,0.0
cost:E0+S6,1,-3.95,3.95,3.95,0,0,1,1.0
cost:E0+SX,1,-3.8,3.8,3.8,0,0,1,1.0
cost:E1,247,0.0,1.19,2.551,118,169,145,0.587
cost:E1+S1,1,-1.1,1.1,1.1,0,1,1,1.0
cost:E1+S2,1,0.1,0.1,0.1,1,1,0,0.0
cost:E1+S3,3,2.5,2.88,4.426,0,0,1,0.333
cost:E1+S4,2,-2.05,2.55,3.272,1,1,0,0.0
cost:E1+S5,1,-3.7,3.7,3.7,0,0,0,0.0
cost:E2,83,-1.625,2.6,5.007,24,37,48,0.578
cost:E2+S7,1,2.35,2.35,2.35,0,0,0,0.0
cost:E3,33,-2.5,3.5,6.127,8,11,24,0.727
cost:E4,2,-1.875,1.875,2.652,1,1,2,1.0
cost:E5,1,0.0,0.0,0.0,1,1,1,1.0
cost:E9,0,,,,0,0,0,
cost:EX,10,-6.05,6.05,7.25,0,0,8,0.8
