rule,confidence,effect_count,card_count,median_score_low,median_score_baseline,median_score_high,example_card,example_text,basis
atomic_fixed,high,270,249,4.525,4.525,4.525,Abrasive,Gain 1 Dexterity.,v3 quantified/scenario rule
atomic_fixed,medium,126,108,3.4,3.4,3.4,Abrasive,Gain 4 Thorns.,v3 quantified/scenario rule
keyword_exhaust,medium,95,95,-1.0,-1.0,-1.0,Adrenaline,keyword_exhaust,v1 keyword calibration
keyword_unplayable,medium,26,26,-2.0,-1.25,-0.75,Ascender's Bane,keyword_unplayable,draw/hand clog
cost_star_spend,low,21,21,-6.0,-6.0,-6.0,Alignment,Spend 3 Stars to play this card,printed Star payment: 3 × -2.0
multi_hit_strength_synergy,medium,16,16,0.0,0.375,1.125,Astral Pulse,multi_hit_strength_synergy,V3 cross-effect interaction
atomic_fixed+event_triggers,medium,14,14,1.8,6.3,32.4,Afterimage,"Whenever you play a card, gain 1 Block.",v3 quantified/scenario rule
keyword_ethereal,medium,13,13,-1.0,-1.0,-1.0,Apparition,keyword_ethereal,v1 keyword calibration
atomic_fixed+recurring_turns,low,12,12,3.45,8.51,13.8,Crimson Mantle,"At the start of your turn, lose 1 HP and gain 8 Block.",v3 quantified/scenario rule
keyword_retain,medium,11,11,0.5,0.5,0.5,Eradicate,keyword_retain,v1 keyword calibration
atomic_fixed+delay_next_turn,medium,10,10,3.36,3.36,3.36,Charge Battery,"Next turn, gain 1 Energy.",v3 quantified/scenario rule
atomic_fixed+event_triggers,low,10,10,1.725,6.037,31.05,Black Hole,"Whenever you spend or gain 1 Stars, deal 3 damage to ALL enemies.",v3 quantified/scenario rule
atomic_osty_damage,high,10,10,2.925,2.925,2.925,Fetch,Osty deals 3 damage.,v3 quantified/scenario rule
atomic_fixed+condition_probability,low,9,9,0.0,2.38,3.4,Escape Plan,"If you draw a Skill, gain 3 Block.",v3 quantified/scenario rule
keyword_innate,medium,9,9,0.5,0.5,0.5,Apotheosis,keyword_innate,v1 keyword calibration
